abstract,category
"  In the last four years, daily deals have emerged from nowhere to become a
multi-billion dollar industry world-wide. Daily deal sites such as Groupon and
Livingsocial offer products and services at deep discounts to consumers via
email and social networks. As the industry matures, there are many questions
regarding the impact of daily deals on the marketplace. Important questions in
this regard concern the reasons why businesses decide to offer daily deals and
their longer-term impact on businesses. In the present paper, we investigate
whether the unobserved factors that make marketers run daily deals are
correlated with the unobserved factors that influence the business, In
particular, we employ the framework of seemingly unrelated regression to model
the correlation between the errors in predicting whether a business uses a
daily deal and the errors in predicting the business' survival. Our analysis
consists of the survival of 985 small businesses that offered daily deals
between January and July 2011 in the city of Chicago. Our results indicate that
there is a statistically significant correlation between the unobserved factors
that influence the business' decision to offer a daily deal and the unobserved
factors that impact its survival. Furthermore, our results indicate that the
correlation coefficient is significant in certain business categories (e.g.
restaurants).
",Applied
"  We propose a novel approach for density estimation with exponential families
for the case when the true density may not fall within the chosen family. Our
approach augments the sufficient statistics with features designed to
accumulate probability mass in the neighborhood of the observed points,
resulting in a non-parametric model similar to kernel density estimators. We
show that under mild conditions, the resulting model uses only the sufficient
statistics if the density is within the chosen exponential family, and
asymptotically, it approximates densities outside of the chosen exponential
family. Using the proposed approach, we modify the exponential random graph
model, commonly used for modeling small-size graph distributions, to address
the well-known issue of model degeneracy.
",ML
"  In this research, two-state Markov switching models are proposed to study
accident frequencies and severities. These models assume that there are two
unobserved states of roadway safety, and that roadway entities (e.g., roadway
segments) can switch between these states over time. The states are distinct,
in the sense that in the different states accident frequencies or severities
are generated by separate processes (e.g., Poisson, negative binomial,
multinomial logit). Bayesian inference methods and Markov Chain Monte Carlo
(MCMC) simulations are used for estimation of Markov switching models. To
demonstrate the applicability of the approach, we conduct the following three
studies. In the first study, two-state Markov switching count data models are
considered as an alternative to zero-inflated models for annual accident
frequencies, in order to account for preponderance of zeros typically observed
in accident frequency data. In the second study, two-state Markov switching
Poisson model and two-state Markov switching negative binomial model are
estimated using weekly accident frequencies on selected Indiana interstate
highway segments over a five-year time period. In the third study, two-state
Markov switching multinomial logit models are estimated for severity outcomes
of accidents occurring on Indiana roads over a four-year time period. One of
the most important results found in each of the three studies, is that in each
case the estimated Markov switching models are strongly favored by roadway
safety data and result in a superior statistical fit, as compared to the
corresponding standard (non-switching) models.
",Applied
"  This article considers the estimation of the number of severely disabled
people using data from the Italian survey on Health Conditions and Appeal to
Medicare. Disability is indirectly measured using a set of categorical items,
which survey a set of functions concerning the ability of a person to
accomplish everyday tasks. Latent Class Models can be employed to classify the
population according to different levels of a latent variable connected with
disability. The survey, however, is designed to provide reliable estimates at
the level of Administrative Regions (NUTS2 level), while local authorities are
interested in quantifying the amount of population that belongs to each latent
class at a sub-regional level. Therefore, small area estimation techniques
should be used. The challenge of the present application is that the variable
of interest is not directly observed. Adopting a full Bayesian approach, we
base small area estimation on a Latent Class model in which the probability of
belonging to each latent class changes with covariates and the influence of age
is learnt from the data using penalized splines. Deimmler-Reisch bases are
shown to improve speed and mixing of MCMC chains used to simulate posteriors.
",Applied
"  Markowitz's celebrated mean--variance portfolio optimization theory assumes
that the means and covariances of the underlying asset returns are known. In
practice, they are unknown and have to be estimated from historical data.
Plugging the estimates into the efficient frontier that assumes known
parameters has led to portfolios that may perform poorly and have
counter-intuitive asset allocation weights; this has been referred to as the
""Markowitz optimization enigma."" After reviewing different approaches in the
literature to address these difficulties, we explain the root cause of the
enigma and propose a new approach to resolve it. Not only is the new approach
shown to provide substantial improvements over previous methods, but it also
allows flexible modeling to incorporate dynamic features and fundamental
analysis of the training sample of historical data, as illustrated in
simulation and empirical studies.
",Applied
"  There is much interest in the Hierarchical Dirichlet Process Hidden Markov
Model (HDP-HMM) as a natural Bayesian nonparametric extension of the ubiquitous
Hidden Markov Model for learning from sequential and time-series data. However,
in many settings the HDP-HMM's strict Markovian constraints are undesirable,
particularly if we wish to learn or encode non-geometric state durations. We
can extend the HDP-HMM to capture such structure by drawing upon
explicit-duration semi-Markovianity, which has been developed mainly in the
parametric frequentist setting, to allow construction of highly interpretable
models that admit natural prior information on state durations.
  In this paper we introduce the explicit-duration Hierarchical Dirichlet
Process Hidden semi-Markov Model (HDP-HSMM) and develop sampling algorithms for
efficient posterior inference. The methods we introduce also provide new
methods for sampling inference in the finite Bayesian HSMM. Our modular Gibbs
sampling methods can be embedded in samplers for larger hierarchical Bayesian
models, adding semi-Markov chain modeling as another tool in the Bayesian
inference toolbox. We demonstrate the utility of the HDP-HSMM and our inference
methods on both synthetic and real experiments.
",Applied
"  In a multiple testing context, we consider a semiparametric mixture model
with two components where one component is known and corresponds to the
distribution of $p$-values under the null hypothesis and the other component
$f$ is nonparametric and stands for the distribution under the alternative
hypothesis. Motivated by the issue of local false discovery rate estimation, we
focus here on the estimation of the nonparametric unknown component $f$ in the
mixture, relying on a preliminary estimator of the unknown proportion $\theta$
of true null hypotheses. We propose and study the asymptotic properties of two
different estimators for this unknown component. The first estimator is a
randomly weighted kernel estimator. We establish an upper bound for its
pointwise quadratic risk, exhibiting the classical nonparametric rate of
convergence over a class of H\""older densities. To our knowledge, this is the
first result establishing convergence as well as corresponding rate for the
estimation of the unknown component in this nonparametric mixture. The second
estimator is a maximum smoothed likelihood estimator. It is computed through an
iterative algorithm, for which we establish a descent property. In addition,
these estimators are used in a multiple testing procedure in order to estimate
the local false discovery rate. Their respective performances are then compared
on synthetic data.
",Applied
"  Bayesian phylogenetic methods are generating noticeable enthusiasm in the
field of molecular systematics. Many phylogenetic models are often at stake and
different approaches are used to compare them within a Bayesian framework. The
Bayes factor, defined as the ratio of the marginal likelihoods of two competing
models, plays a key role in Bayesian model selection. We focus on an
alternative estimator of the marginal likelihood whose computation is still a
challenging problem. Several computational solutions have been proposed none of
which can be considered outperforming the others simultaneously in terms of
simplicity of implementation, computational burden and precision of the
estimates. Practitioners and researchers, often led by available software, have
privileged so far the simplicity of the harmonic mean estimator (HM) and the
arithmetic mean estimator (AM). However it is known that the resulting
estimates of the Bayesian evidence in favor of one model are biased and often
inaccurate up to having an infinite variance so that the reliability of the
corresponding conclusions is doubtful. Our new implementation of the
generalized harmonic mean (GHM) idea recycles MCMC simulations from the
posterior, shares the computational simplicity of the original HM estimator,
but, unlike it, overcomes the infinite variance issue. The alternative
estimator is applied to simulated phylogenetic data and produces fully
satisfactory results outperforming those simple estimators currently provided
by most of the publicly available software.
",Applied
"  A perturbative approach is used to derive approximations of arbitrary order
to estimate high percentiles of sums of positive independent random variables
that exhibit heavy tails. Closed-form expressions for the successive
approximations are obtained both when the number of terms in the sum is
deterministic and when it is random. The zeroth order approximation is the
percentile of the maximum term in the sum. Higher orders in the perturbative
series involve the right-truncated moments of the individual random variables
that appear in the sum. These censored moments are always finite. As a result,
and in contrast to previous approximations proposed in the literature, the
perturbative series has the same form regardless of whether these random
variables have a finite mean or not. The accuracy of the approximations is
illustrated for a variety of distributions and a wide range of parameters. The
quality of the estimate improves as more terms are included in the perturbative
series, specially for higher percentiles and heavier tails.
",Applied
"  The mean field methods, which entail approximating intractable probability
distributions variationally with distributions from a tractable family, enjoy
high efficiency, guaranteed convergence, and provide lower bounds on the true
likelihood. But due to requirement for model-specific derivation of the
optimization equations and unclear inference quality in various models, it is
not widely used as a generic approximate inference algorithm. In this paper, we
discuss a generalized mean field theory on variational approximation to a broad
class of intractable distributions using a rich set of tractable distributions
via constrained optimization over distribution spaces. We present a class of
generalized mean field (GMF) algorithms for approximate inference in complex
exponential family models, which entails limiting the optimization over the
class of cluster-factorizable distributions. GMF is a generic method requiring
no model-specific derivations. It factors a complex model into a set of
disjoint variable clusters, and uses a set of canonical fix-point equations to
iteratively update the cluster distributions, and converge to locally optimal
cluster marginals that preserve the original dependency structure within each
cluster, hence, fully decomposed the overall inference problem. We empirically
analyzed the effect of different tractable family (clusters of different
granularity) on inference quality, and compared GMF with BP on several
canonical models. Possible extension to higher-order MF approximation is also
discussed.
",ML
